Country,Unnamed: 1,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
South Africa,,,...,...,268.21388551936906,283.46058820817171,241.76974641121689,227.11566428087886,234.99077201329013,264.23450572477179,381.06717986081691,286.33823163518122,269.00742942521055,306.9226170943993,488.4793318432246,789.76059788534724,791.05336670109966,1108.6669891251345,1135.3332746979154,1229.7102514220649,1365.766376215169,1434.6427819969488,1479.691622824957,1396.2600106804973,1537.6249757305004,1573.1600496788292,1981.6328324434403,2544.5008488528856,3196.4877640860213,3966.2800587525703,4411.7912298049841,3958.7264562176661,3535.5041826560469,3543.9886766136674,3920.7831601421017,3856.1636903710209,3918.4689588678275,4221.9287634270249,4192.0296158139527,4273.2036854205044,4718.7839244060751,5538.7631229901044,5463.0721070921336,4920.100901443926,4041.6244581862543,3479.3517763887548,3215.414431004735,3428.2847113853932,3049.8197644708025,2650.82151062186,2436.8465694383422,2159.2021049861546,2069.1054123439253,2428.4954387167195,2715.3599677590996,2975.3293990415227,2945.0791173728417,3048.753965710086,3384.7174174268507,3431.3515667200086,3381.1262414287726,3361.8538084801116,3515.7574166897434,3402.6740227665032,3525.5731025555692,3684.1494802898569,3757.0591314863159,3760.9534621249677,3791.7512323938849,3692.9924198769086,3639.9517341260103,3488.0627464112195,3465.8693150111985,3598.7985739725491,3388.8247261866391,3419.4076831535308,3214.1560813445017,3033.25133588321,2996.3891156074687
Mexico,,,510.99044734462313,568.48760760932623,576.09840295415631,532.81323010902349,604.29032727329206,761.99106396092532,721.4569805093231,736.68375016718039,799.97874328817784,743.71840186631641,728.19904166420713,820.6104211556983,830.692455763598,942.45921943318012,1057.7823461993917,1107.447132142004,1062.164764844621,1114.9620894584564,1108.8687365008016,1206.8602247990304,1412.357572641464,1318.529723307583,1354.6260671201287,1635.5924706073631,1811.4589284311353,1981.5873008023934,2133.3079184633975,2394.2508925230686,2236.2187511529637,2273.7696861303816,2527.4118619302494,2400.1151639977711,3177.3425251166559,3071.9113212938819,2941.3025219008077,3686.6279933877768,3842.8487128561551,3234.248243231772,3127.8484829526647,2907.9861809594795,3082.1490637380521,2919.3081921380049,3077.8098077671198,3416.2830931036724,3646.122037565844,4583.65808483498,3829.2422860160627,4064.78976233324,4072.8722124023775,4200.4023114888651,4419.3601521593537,4561.6099466194974,4513.9499426435577,4363.3391273221478,4351.9928074600957,4192.72640576558,4260.2823709106069,3995.297415799133,5361.1227955495187,5331.0669585387377,6401.9262877857682,6097.1760531826594,6655.7628491759178,7046.30354966583,7453.6891958907445,7786.7066582487523,7313.1604040101474,8177.6518988804537,7409.4067175629816,8286.6971448507629,9108.38602242656,11901.258195263645,11464.297372571918,12221.040209330933,12035.011635945584,20594.947698311458,13782.873929875042
Canada,,,...,4365.7666047394014,8846.9814191195037,14219.17327342245,16316.54822956062,15179.517250863599,15031.445780142445,15340.422968357952,14650.187249171506,13645.721650154346,12766.87723363686,12484.391291855749,12742.712061306544,13235.144915124936,12642.888043279478,12786.832495985367,11849.663306508575,11703.706313411272,12443.431111816826,12087.640818710071,11384.047271522006,11406.217169900698,11788.351271338852,11858.435653238732,11777.14492009793,12351.370576363679,13124.606053530753,13325.817855205491,13941.716050520914,14524.320394098662,14062.060972311379,14797.818192500692,14620.345235155482,15892.17271825358,17320.906409412375,18455.698306956576,19001.620167219506,19356.221880875197,19778.931542232975,20089.378122431008,19987.782263696554,19968.981737458293,18442.367846597339,18238.710000085022,18192.858456703289,17928.584121787066,16898.062136277815,15517.618895343418,14299.715715788263,14794.178108598102,15432.838981897636,15180.060304457495,15582.503532687682,15661.559309894385,15949.906400763355,16553.592616216745,17281.623727540296,18084.863293392296,19717.188417024423,21248.729493563929,22219.209670844379,20068.584381520952,20746.794093539345,19728.197863616671,18236.435322091682,20436.175363356313,21630.867339426666,21185.881665715438,25012.2579211385,24638.575207532882,24388.905493420341,26979.460616982313,25691.131319973574,25395.778251551463,29145.917680495411,30617.562312508773,37529.257563273241
United States of America,,44,181095.54595961623,194625.01922071318,416423.76619009074,586599.33539518306,603952.7491342905,521100.55414618237,493268.10842299985,499722.011991578,513981.06956602272,510931.92147333937,514510.56163685868,501847.37407310773,523074.47174020496,566782.24731086893,559063.79526294745,540424.60273618554,542791.51230527775,641790.29059042025,736820.0824456811,760483.6159193042,727077.14487210987,673817.93549608625,606251.81210538745,605379.87760176358,575307.82768107858,567795.5315287722,536613.26551097492,522016.12892734614,541716.85692098038,545143.71977470571,548272.46022475278,547007.220510534,609290.88050954021,720586.05129287951,703680.56139199855,740140.20655238768,793443.8836968157,845889.77599746187,838949.2861300871,821399.24445623218,814459.97374536924,780581.09643137257,689542.05579027825,726638.01640974928,687750.9280501192,651998.965640133,609028.63215553621,575900.83649207838,572921.64828100335,559984.94775486935,561362.9817292582,583086.55985925847,587822.184904898,660012.01087067788,751202.66883484717,818750.899893239,856461.67015062354,868803.049526678,891986.05602728319,956872.41636611416,1032168.2514445777,1061674.3326546005,1049102.9576915179,990830.74011832988,914617.18839986029,858357.12606719579,838865.06026992784,836290.94869591331,827674.26562428137,852585.04591086262,901032.11945757712,943446.57799257059,933334.48045805213,922552.52415463829,943032.78445664083,1004901,929162.89523732674
Argentina,,5,5610.8864025754274,4447.6332173924875,3014.8012121111087,3070.3542744879046,4003.5047985983065,3814.5670338059117,3851.7772768322152,3605.4388457214586,6398.924953627421,3445.7903706224947,1939.3412143505229,2904.5138464615461,3536.421512418784,3425.5971157153108,3492.4330753010117,2934.5947478869307,2830.3879784709238,2927.668484888532,3259.2907078954108,3939.8722279225194,4810.8433913287045,4617.9307801496243,4766.0234025804875,4902.3851836294843,5135.8781705481251,5226.6326387957,6634.9884030898193,11988.607955273616,12698.032322774287,13568.311678735421,14097.895338564811,12547.035973564894,13355.224835563382,11509.553048620453,13159.824137495652,10325.325821851397,9540.0150437716129,9502.238945258503,9477.9621331810813,9474.1516615427154,7701.1649732047472,5229.9276051846409,5247.7965530337406,4969.173843345724,4688.9299385644308,5017.2164932527139,4918.0534242757076,4363.9327193654026,4290.9290204165791,4325.6807913675266,4457.8929049026374,4246.4090517260429,4183.0770158622045,3564.7500919330964,3671.7211562751691,3778.3168189886214,3968.7722478195687,4092.2435390321375,4426.7112690468057,4398.5846241449153,4740.5258596717767,4690.8283731746451,4623.5703804078057,4566.51687896623,5116.60060660098,5293.33472748243,5242.1436251849345,5100.0090876919121,5529.3900057594756,4920.0348154320782,4476.31696263485,4173.9493325461635,4111.415848342207,4620.2913744192,5058.4381980543176,4179.8386569900049,3731.0448626533348
Brazil,,...,...,...,...,...,1646.5813886003421,...,...,...,2483.7548821507685,2485.7613571750685,1972.2279040665078,1810.1710781476545,1688.5452346690402,1797.4869679478945,1764.1213478110576,1646.8312492055925,2761.1561202333464,2497.7006528387328,2402.9008644720539,2493.2126930620379,2627.3284213036286,3124.9069249407607,3114.2030740681621,4702.67855861183,5341.3796969362529,5593.9136802008,6137.3627906418478,7174.786299663986,6564.083426773097,6523.6755261145927,6810.5495492721566,5976.5464269804652,5832.9050433219918,6750.0945470353217,6342.9210645149815,6721.7227060237656,9233.8739752156143,8446.751071109742,11584.592458523734,14438.258864814121,15194.922670627522,12667.104024330232,10259.049201679913,8076.6390724334315,11097.207306853832,13211.881655730995,14854.520794787517,13813.90524044528,13719.116760687753,14746.720869511957,15106.693228330565,16363.752067718398,18953.76569300679,19206.800029475879,15322.306237167366,15920.55877544233,17225.91823576497,17836.74175202462,19236.067300204628,20463.182510839259,22312.352528617961,24777.737024252045,24000.536583794808,24462.029770160065,24595.150051793913,25086.978422109754,24505.608193698063,23261.578597982651,24777.89368600606,26422.044423989362,25282.75873858526,24202.752008622083,22922.950893134635,21487.94727234753,21074.968007704578,20963.641605747773,23639.684967518351
Australia,,...,...,3192.848998044276,4586.0333146547218,5857.1131494198289,5895.4323126259405,5287.5872205109117,5369.7794582538218,5204.0723191570914,4995.3426797748007,4949.441891815638,4977.6155301906347,4897.1352317396122,4893.5008473857633,5099.7183206341,5734.4731154704286,6639.853236277826,7668.5322066997214,9332.49946535495,10978.645434842962,11799.910384081229,11406.902441137214,10664.83173673176,10363.664962687966,10368.305074815027,9931.9917466397128,9794.7666688600748,9953.4799320253733,10105.919012026419,10159.091668251065,10271.053250750676,10614.831938093577,11162.401530173149,11918.375591001588,12530.133846345005,12962.003549438119,13974.5844929693,14652.866224131383,14737.024628762778,14236.35831145536,13731.199503543496,13615.519617449172,13682.62084293933,13916.01311167287,14321.944062931787,14864.735364954471,15030.984991577387,14559.722480520066,14381.402420173759,14639.346342499823,15356.001175932755,16107.228819227574,16063.272859872173,16699.211193489511,17417.245007504131,17741.588096026222,18473.059592519381,19118.198903070133,20139.7885002056,21377.151511900563,22156.625239196139,23825.72878483525,24102.874173498261,23768.958776409287,22936.004209944742,22736.78715641264,24676.812133745821,27201.48746206845,29786.8396851766,29733.563836224694,29023.643018881237,29810.47264023605,31267.502402443875,33394.852322944251,33625.166448444186,33238.932516455556,34231.448067172016,35263.623518756467
India,,59,...,...,...,...,...,...,...,3046.0474766981533,3642.8512906582987,3649.0357429136698,3368.9947292010706,3401.3804337264223,3669.4741520237935,5043.6484664289337,8256.5960899615638,8059.6028710825067,7878.0653858249771,7418.314767108146,6931.07092767919,7177.8049842913333,7607.05350783033,7843.9634724323187,9352.5477246520677,9860.6421753812465,8709.4670642108213,8110.8011190252691,9103.1712558912041,10452.214963367798,9930.6566974011748,10384.510709428207,11190.166133104423,11483.715030587999,12124.377546485723,13155.132980028191,13613.711859414709,14401.152860516975,16154.222876229091,19096.168247902508,20570.32609946865,21062.559102660252,22194.556841034329,21862.095134613683,20412.972390643852,19508.866271113489,22034.448531057653,22132.780580889626,22796.183258087061,23209.493032611979,25692.156813513702,26805.375147072296,31151.771570615641,32144.854470973834,33264.418860094767,33161.457333549122,33901.868538994713,39380.118821026721,41909.241914334,42248.808837269236,42759.178346977875,48499.601682539163,57100.745707915929,57330.363148568584,57857.235930281247,57563.620669072945,57601.722640725086,60408.330133704607,60982.254061262756,67201.659538411724,71935.620909753823,74468.86351227999,79726.147691335529,80209.725916911586,79701.317304375087,83218.2300147544,85232.529388528332,85597.0831191097,93254.677691646
China,,55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19905.957179233752,21639.621941251564,23000.931515391461,27972.069658336968,25722.776262313731,24750.393098978489,25707.125679044744,27234.483952723142,29054.192422136759,31723.585544991474,38673.675311037878,41859.948841165642,49634.629032690973,57007.590029368752,61696.002549766774,67956.449183109857,74624.9774233132,85898.208741814189,94424.535468663453,103310.80220400917,125361.39516664106,131535.81978251814,141205.81551114112,155714.05907459068,168374.62501672705,181814.42033438323,196087.55556286048,207375.40998832564,220129.31992222846,233023.66426689958,244375.95619855542,255894.61892362384,262558.66669318231,274158.19588427496,292220.76305725309,311900.35060081549,335017.61733764654
Japan,,56,...,...,...,6301.9380611735769,6546.259861278867,7375.0246700293483,7661.4029112259286,7160.79988009469,6852.9435857841463,7000.119048148792,6990.0523637458828,7000.4938477299092,6804.6928758171634,6966.2843940382218,7572.6401833432228,8313.873932479426,8922.0200656346478,9638.5660466897425,10329.581902814989,11021.833403968838,11971.931916838885,13116.451915440199,14463.333257417629,16145.677845940194,17038.222156342421,17459.1745318799,18165.286008417934,18325.095997637218,18863.744082966805,19945.864420770675,21225.231517151627,21565.036203866606,22338.166799780003,23073.976680787702,24215.305386952979,25322.001235466825,26680.67404819022,27854.859390438924,29008.512517663781,30472.206166620919,31791.144258175984,33347.6294685347,34190.055449757754,34703.805939863749,34563.747797614044,34551.960753690393,35124.166880853991,35763.129496807887,36066.140173694643,36107.164587112871,35919.1228815239,36107.47756151206,36739.573133369777,36922.563835201065,36969.305669865425,36821.599570298218,36755.016610148668,36286.650363769928,35814.99236231338,35470.3077707003,36134.768849398119,36264.168963803611,36754.338993477082,36308.7536426215,36158.6046754204,36545.719589141067,37187.777526228841,36966.809558526467,36722.264224544793,38570.815341183792,39667.909725316684,39327.854535661514,42277.055468831044,39765.998419919459,45863.390693551009,54245.069554999209,59493.139691711214
