typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","32","ARG","Argentina","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"23711","23711","0","true","false",
"C","A","20100101","2010","52","2010","36","AUS","Australia","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"284912","284912","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1123811","1123811","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","668814.994","668814.994","0","false","true",
"C","A","20100101","2010","52","2010","72","BWA","Botswana","X","Export","710","ZAF","South Africa","0","W00","World","H1","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"6142.71","6142.71","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"298149","298149","0","false","true",
"C","A","20100101","2010","52","2010","108","BDI","Burundi","X","Export","710","ZAF","South Africa","0","W00","World","H2","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8140.549","8140.549","0","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"101691","101691","0","true","false",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"322049","322049","0","true","false",
"C","A","20100101","2010","52","2010","170","COL","Colombia","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"33276","33276","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1039239","1039239","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"53866","53866","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"852296","852296","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"35790","35790","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"1818525.512","1818525.512","0","false","true",
"C","A","20100101","2010","52","2010","348","HUN","Hungary","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20000","20000","0","true","false",
"C","A","20100101","2010","52","2010","376","ISR","Israel","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"50000","50000","0","true","false",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"true",,"false",,"false",,"2743705","2743705","0","false","false",
"C","A","20100101","2010","52","2010","392","JPN","Japan","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"35976","35976","0","true","false",
"C","A","20100101","2010","52","2010","404","KEN","Kenya","X","Export","710","ZAF","South Africa","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20","20","0","true","false",
