typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2260546.717","2260546.717","0","false","true",
"C","A","20210101","2021","52","2021","56","BEL","Belgium","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8917.803","8917.803","0","false","true",
"C","A","20210101","2021","52","2021","76","BRA","Brazil","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2157218","2157218","0","false","true",
"C","A","20210101","2021","52","2021","124","CAN","Canada","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"262897.417","262897.417","4","false","true",
"C","A","20210101","2021","52","2021","156","CHN","China","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2693239","2693239","0","false","true",
"C","A","20210101","2021","52","2021","203","CZE","Czechia","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","458323","458323","4","false","true",
"C","A","20210101","2021","52","2021","246","FIN","Finland","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","31767.222","31767.222","0","false","true",
"C","A","20210101","2021","52","2021","251","FRA","France","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"286890.002","286890.002","0","false","true",
"C","A","20210101","2021","52","2021","276","DEU","Germany","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","373056.105","373056.105","4","false","true",
"C","A","20210101","2021","52","2021","300","GRC","Greece","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","218.807","218.807","0","false","true",
"C","A","20210101","2021","52","2021","380","ITA","Italy","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1189978.681","1189978.681","0","false","true",
"C","A","20210101","2021","52","2021","490","S19","Other Asia, nes","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","247179.393","247179.393","0","false","true",
"C","A","20210101","2021","52","2021","528","NLD","Netherlands","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1717.339","1717.339","0","false","true",
"C","A","20210101","2021","52","2021","616","POL","Poland","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","236","236","0","false","true",
"C","A","20210101","2021","52","2021","688","SRB","Serbia","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","84189","80679","80679","0","false","true",
"C","A","20210101","2021","52","2021","699","IND","India","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","437171.216","437171.216","0","false","true",
"C","A","20210101","2021","52","2021","724","ESP","Spain","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1373266.894","1373266.894","0","false","true",
"C","A","20210101","2021","52","2021","752","SWE","Sweden","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"105170.287","105170.287","4","false","true",
"C","A","20210101","2021","52","2021","792","TUR","Türkiye","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"827457","827457","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","4765208","4765208","4","false","true",
"C","A","20220101","2022","52","2022","20","AND","Andorra","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"9322.595","9322.595","0","false","true",
"C","A","20220101","2022","52","2022","40","AUT","Austria","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"642441.802","642441.802","0","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"26916.754","26916.754","0","false","true",
"C","A","20220101","2022","52","2022","76","BRA","Brazil","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1982506","1982506","0","false","true",
"C","A","20220101","2022","52","2022","156","CHN","China","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2624027","2624027","0","false","true",
"C","A","20220101","2022","52","2022","191","HRV","Croatia","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"49929","49929","0","false","true",
"C","A","20220101","2022","52","2022","203","CZE","Czechia","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"578315","578315","0","false","true",
"C","A","20220101","2022","52","2022","208","DNK","Denmark","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"103769.562","103769.562","0","false","true",
"C","A","20220101","2022","52","2022","246","FIN","Finland","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"185080.668","185080.668","0","false","true",
"C","A","20220101","2022","52","2022","251","FRA","France","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"248068.276","248068.276","0","false","true",
"C","A","20220101","2022","52","2022","276","DEU","Germany","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"244330.426","244330.426","4","false","true",
"C","A","20220101","2022","52","2022","300","GRC","Greece","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"483.349","483.349","0","false","true",
"C","A","20220101","2022","52","2022","380","ITA","Italy","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"3279175.532","3279175.532","0","false","true",
"C","A","20220101","2022","52","2022","392","JPN","Japan","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","16912.786","16912.786","0","false","true",
"C","A","20220101","2022","52","2022","490","S19","Other Asia, nes","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"162441.74","162441.74","0","false","true",
"C","A","20220101","2022","52","2022","616","POL","Poland","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"408","408","0","false","true",
"C","A","20220101","2022","52","2022","620","PRT","Portugal","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"33178.976","33178.976","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"374646.386","374646.386","0","false","true",
"C","A","20220101","2022","52","2022","703","SVK","Slovakia","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"304759.645","304759.645","0","false","true",
"C","A","20220101","2022","52","2022","710","ZAF","South Africa","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1020363.189","1020363.189","4","false","true",
"C","A","20220101","2022","52","2022","724","ESP","Spain","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1538958.671","1538958.671","0","false","true",
