typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","36","AUS","Australia","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"415565","415565","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3763881","3763881","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","3342223.594","3342223.594","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"556386","556386","0","false","true",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"940045","940045","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3139000","3139000","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"587752","587752","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3778837","3778837","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"373808","373808","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"5340874.069","5340874.069","0","false","true",
"C","A","20100101","2010","52","2010","376","ISR","Israel","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1226000","1226000","0","true","false",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"true",,"false",,"false",,"8271694","8271694","0","false","false",
"C","A","20100101","2010","52","2010","388","JAM","Jamaica","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"27213","27213","0","true","false",
"C","A","20100101","2010","52","2010","392","JPN","Japan","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"28278","28278","0","true","false",
"C","A","20100101","2010","52","2010","410","KOR","Rep. of Korea","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"946856","946856","0","true","false",
"C","A","20100101","2010","52","2010","422","LBN","Lebanon","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"660","660","0","true","false",
"C","A","20100101","2010","52","2010","442","LUX","Luxembourg","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"85","85","0","true","false",
"C","A","20100101","2010","52","2010","458","MYS","Malaysia","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11215","11215","0","true","false",
"C","A","20100101","2010","52","2010","490","S19","Other Asia, nes","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"98955","98955","0","true","false",
