typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"847434.222","847434.222","4","false","true",
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1556188.197","1556188.197","0","false","true",
"C","A","20210101","2021","52","2021","203","CZE","Czechia","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","27345","27345","0","false","true",
"C","A","20210101","2021","52","2021","208","DNK","Denmark","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"96.07","96.07","0","false","true",
"C","A","20210101","2021","52","2021","246","FIN","Finland","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1782.39","1782.39","0","false","true",
"C","A","20210101","2021","52","2021","251","FRA","France","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"9234.06","9234.06","4","false","true",
"C","A","20210101","2021","52","2021","276","DEU","Germany","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","4450229.696","4450229.696","4","false","true",
"C","A","20210101","2021","52","2021","344","HKG","China, Hong Kong SAR","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","90792.133","90792.133","4","false","true",
"C","A","20210101","2021","52","2021","360","IDN","Indonesia","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2737.191","2737.191","0","false","true",
"C","A","20210101","2021","52","2021","380","ITA","Italy","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1017790.615","1017790.615","0","false","true",
"C","A","20210101","2021","52","2021","392","JPN","Japan","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","143438.409","143438.409","0","false","true",
"C","A","20210101","2021","52","2021","490","S19","Other Asia, nes","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","169620.279","169620.279","0","false","true",
"C","A","20210101","2021","52","2021","524","NPL","Nepal","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2765.24","2765.24","4","false","true",
"C","A","20210101","2021","52","2021","528","NLD","Netherlands","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","24650.674","24650.674","0","false","true",
"C","A","20210101","2021","52","2021","554","NZL","New Zealand","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"493343.47","493343.47","4","false","true",
"C","A","20210101","2021","52","2021","616","POL","Poland","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","37590","37590","4","false","true",
"C","A","20210101","2021","52","2021","634","QAT","Qatar","X","Export","156","CHN","China","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","230644.502","230644.502","0","false","true",
