typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","36","AUS","Australia","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"187284","187284","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1133239","1133239","0","true","false",
"C","A","20100101","2010","52","2010","50","BGD","Bangladesh","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"115963","115963","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","6032362.036","6032362.036","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7577","7577","0","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"235176","235176","0","true","false",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"49089","49089","0","true","false",
"C","A","20100101","2010","52","2010","196","CYP","Cyprus","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"189723","189723","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"189000","189000","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"8945","8945","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1861087","1861087","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"1437064.798","1437064.798","0","false","true",
"C","A","20100101","2010","52","2010","360","IDN","Indonesia","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"77","77","0","true","false",
"C","A","20100101","2010","52","2010","376","ISR","Israel","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20562000","20562000","0","true","false",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"true",,"false",,"false",,"994954","994954","0","false","false",
"C","A","20100101","2010","52","2010","392","JPN","Japan","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5482","5482","0","true","false",
"C","A","20100101","2010","52","2010","422","LBN","Lebanon","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1327","1327","0","true","false",
"C","A","20100101","2010","52","2010","490","S19","Other Asia, nes","X","Export","699","IND","India","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2877","2877","0","true","false",
