typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","36","AUS","Australia","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"750180","750180","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1940306","1940306","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","317252.004","317252.004","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"16001","16001","0","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"7945","7945","0","true","false",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"80922","80922","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"145000","145000","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"264100","264100","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20063687","20063687","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"3400120.032","3400120.032","0","false","true",
"C","A","20100101","2010","52","2010","348","HUN","Hungary","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"91000","91000","0","true","false",
"C","A","20100101","2010","52","2010","360","IDN","Indonesia","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1","1","0","true","false",
"C","A","20100101","2010","52","2010","376","ISR","Israel","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4000","4000","0","true","false",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"true",,"false",,"false",,"3026535","3026535","0","false","false",
"C","A","20100101","2010","52","2010","410","KOR","Rep. of Korea","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"416784","416784","0","true","false",
"C","A","20100101","2010","52","2010","442","LUX","Luxembourg","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1224","1224","0","true","false",
"C","A","20100101","2010","52","2010","450","MDG","Madagascar","X","Export","392","JPN","Japan","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"32.295","32.295","0","false","true",
