typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","36","AUS","Australia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"33053.033","33053.033","4","false","true",
"C","A","20210101","2021","52","2021","40","AUT","Austria","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"386005.041","386005.041","0","false","true",
"C","A","20210101","2021","52","2021","124","CAN","Canada","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"80938.567","80938.567","4","false","true",
"C","A","20210101","2021","52","2021","156","CHN","China","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"654779","654779","0","false","true",
"C","A","20210101","2021","52","2021","203","CZE","Czechia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","175202","175202","4","false","true",
"C","A","20210101","2021","52","2021","208","DNK","Denmark","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"42039.167","42039.167","0","false","true",
"C","A","20210101","2021","52","2021","246","FIN","Finland","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","385125.082","385125.082","0","false","true",
"C","A","20210101","2021","52","2021","251","FRA","France","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"24920.319","24920.319","0","false","true",
"C","A","20210101","2021","52","2021","276","DEU","Germany","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1214447.777","1214447.777","4","false","true",
"C","A","20210101","2021","52","2021","300","GRC","Greece","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","298.051","298.051","0","false","true",
"C","A","20210101","2021","52","2021","344","HKG","China, Hong Kong SAR","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","176576.066","176576.066","4","false","true",
"C","A","20210101","2021","52","2021","380","ITA","Italy","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11068765.079","11068765.079","0","false","true",
"C","A","20210101","2021","52","2021","392","JPN","Japan","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","79641.436","79641.436","0","false","true",
"C","A","20210101","2021","52","2021","490","S19","Other Asia, nes","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","3800575.636","3800575.636","4","false","true",
"C","A","20210101","2021","52","2021","608","PHL","Philippines","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"827442","827442","4","false","true",
"C","A","20210101","2021","52","2021","620","PRT","Portugal","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11194.637","11194.637","0","false","true",
