typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2133903","2133903","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1940943.63","1940943.63","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"274482","274482","0","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1967","1967","0","true","false",
"C","A","20100101","2010","52","2010","152","CHL","Chile","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1220.78","1220.78","0","false","true",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"42008","42008","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4351294","4351294","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"105253","105253","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1633091","1633091","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false",,"809831.068","809831.068","0","false","true",
"C","A","20100101","2010","52","2010","376","ISR","Israel","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3574000","3574000","0","true","false",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"true",,"false",,"false",,"4127656","4127656","0","false","false",
"C","A","20100101","2010","52","2010","392","JPN","Japan","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"274059","274059","0","true","false",
"C","A","20100101","2010","52","2010","410","KOR","Rep. of Korea","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"353499","353499","0","true","false",
"C","A","20100101","2010","52","2010","490","S19","Other Asia, nes","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3035","3035","0","true","false",
"C","A","20100101","2010","52","2010","620","PRT","Portugal","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"255486","255486","0","true","false",
"C","A","20100101","2010","52","2010","710","ZAF","South Africa","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"515571.507","515571.507","4","false","true",
"C","A","20100101","2010","52","2010","724","ESP","Spain","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2472670.393","2472670.393","0","false","true",
"C","A","20100101","2010","52","2010","757","CHE","Switzerland","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3610","3610","0","true","false",
"C","A","20100101","2010","52","2010","792","TUR","Türkiye","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"343935","343935","0","true","false",
"C","A","20100101","2010","52","2010","826","GBR","United Kingdom","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"225039","225039","0","true","false",
"C","A","20100101","2010","52","2010","842","USA","USA","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"35728742","35728742","0","true","false",
"C","A","20110101","2011","52","2011","40","AUT","Austria","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"336170","336170","0","true","false",
"C","A","20110101","2011","52","2011","56","BEL","Belgium","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"893631.354","893631.354","0","false","true",
"C","A","20110101","2011","52","2011","76","BRA","Brazil","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"161220","161220","0","false","true",
"C","A","20110101","2011","52","2011","124","CAN","Canada","X","Export","484","MEX","Mexico","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"20303","20303","0","true","false",
