typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","20","AND","Andorra","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2245.244","2245.244","0","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4094645","4094645","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","563.332","563.332","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"393713","393713","0","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"50038","50038","0","true","false",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1264475","1264475","0","true","false",
"C","A","20100101","2010","52","2010","196","CYP","Cyprus","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"116618","116618","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5283000","5283000","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"16515","16515","0","true","false",
"C","A","20100101","2010","52","2010","233","EST","Estonia","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11173","11173","0","true","false",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2092807","2092807","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1964481","1964481","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","643","RUS","Russian Federation","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false",,"18444572.125","18444572.125","0","false","true",
