typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","8","ALB","Albania","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1008","1008","0","true","false",
"C","A","20100101","2010","52","2010","32","ARG","Argentina","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11294713","11294713","0","true","false",
"C","A","20100101","2010","52","2010","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"44974661","44974661","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"126622231","126622231","0","true","false",
"C","A","20100101","2010","52","2010","44","BHS","Bahamas","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6620","6620","0","true","false",
"C","A","20100101","2010","52","2010","50","BGD","Bangladesh","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2546","2546","0","true","false",
"C","A","20100101","2010","52","2010","52","BRB","Barbados","X","Export","842","USA","USA","0","W00","World","H2","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"200","200","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","36206562.646","36206562.646","0","false","true",
"C","A","20100101","2010","52","2010","76","BRA","Brazil","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"163869642","163869642","0","false","true",
"C","A","20100101","2010","52","2010","84","BLZ","Belize","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"262.275","262.275","0","false","true",
"C","A","20100101","2010","52","2010","116","KHM","Cambodia","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"75251","75251","0","true","false",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"186101955","186101955","0","true","false",
"C","A","20100101","2010","52","2010","152","CHL","Chile","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"117163.79","117163.79","4","false","true",
"C","A","20100101","2010","52","2010","156","CHN","China","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"60927968","60927968","0","true","false",
"C","A","20100101","2010","52","2010","170","COL","Colombia","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2044366","2044366","0","true","false",
"C","A","20100101","2010","52","2010","188","CRI","Costa Rica","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"630","630","0","true","false",
"C","A","20100101","2010","52","2010","191","HRV","Croatia","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"49146399","49146399","0","true","false",
"C","A","20100101","2010","52","2010","203","CZE","Czechia","X","Export","842","USA","USA","0","W00","World","H3","HS","true","93","Arms and ammunition; parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"41871000","41871000","0","true","false",
